task_id,input_height,input_width,output_height,output_width,size_ratio,input_colors,output_colors,color_change,shape_change,grid_area,complexity_score,training_examples,pattern_type,confidence
00576224,2,2,6,6,9.0,4,4,False,True,4,0.28,2,tiling,0.9
007bbfb7,3,3,9,9,9.0,2,2,False,True,9,0.36,5,tiling,0.9
009d5c81,14,14,14,14,1.0,3,2,True,False,196,4.12,5,mapping,0.9
00d62c1b,10,10,10,10,1.0,2,3,True,False,100,2.2,5,mapping,0.9
00dbd492,15,15,15,15,1.0,2,4,True,False,225,4.7,4,mapping,0.9
017c7c7b,6,3,9,3,1.5,2,2,True,True,18,0.5,3,rule_based,0.5
025d127b,8,9,8,9,1.0,2,2,False,False,72,1.56,2,symmetry,0.6
03560426,10,10,10,10,1.0,4,4,False,False,100,2.22,3,symmetry,0.6
045e512c,21,21,21,21,1.0,4,4,False,False,441,9.04,3,symmetry,0.6
0520fde7,3,7,3,3,0.42857142857142855,3,2,True,True,21,0.58,3,extraction,0.85
05269061,7,7,7,7,1.0,4,3,True,False,49,1.18,3,mapping,0.9
05a7bcf2,30,30,30,30,1.0,4,5,True,False,900,18.24,3,mapping,0.9
05f2a901,9,10,9,10,1.0,3,3,False,False,90,1.98,3,symmetry,0.6
0607ce86,21,22,21,22,1.0,5,5,False,False,462,9.5,3,symmetry,0.6
0692e18c,3,3,9,9,9.0,2,2,False,True,9,0.32,3,tiling,0.9
06df4c85,23,23,23,23,1.0,6,6,False,False,529,10.88,3,symmetry,0.6
070dd51e,20,10,20,10,1.0,6,6,False,False,200,4.28,2,symmetry,0.6
08ed6ac7,9,9,9,9,1.0,2,5,True,False,81,1.8,2,mapping,0.9
09629e4f,11,11,11,11,1.0,7,6,True,False,121,2.76,4,mapping,0.9
0962bcdd,12,12,12,12,1.0,3,3,False,False,144,3.04,2,symmetry,0.6
09c534e7,20,20,20,20,1.0,5,5,False,False,400,8.26,3,symmetry,0.6
0a1d4ef5,30,30,2,3,0.006666666666666667,8,5,True,True,900,18.32,3,extraction,0.85
0a2355a6,14,14,14,14,1.0,2,4,True,False,196,4.12,4,mapping,0.9
0a938d79,22,9,22,9,1.0,3,3,False,False,198,4.16,4,symmetry,0.6
0b148d64,18,19,7,9,0.18421052631578946,3,2,True,True,342,7.0,3,extraction,0.85
0b17323b,15,15,15,15,1.0,2,3,True,False,225,4.64,2,mapping,0.9
